panel,attack,target,status,trials,judged,successes,asr_planned,asr_judged,completion_rate,rerun_required
protocol_transfer,A1,ANP,not_applicable,,,,,,,False
protocol_transfer,A1,NLIP,not_applicable,,,,,,,False
protocol_transfer,A2,ANP,reported,90,90,90,1.0,1.0,1.0,False
protocol_transfer,A2,NLIP,not_applicable,,,,,,,False
protocol_transfer,A3,ANP,reported,90,90,89,0.9888888888888889,0.9888888888888889,1.0,True
protocol_transfer,A3,NLIP,reported,90,89,89,0.9888888888888889,1.0,0.9888888888888889,True
protocol_transfer,B1,ANP,reported,90,90,90,1.0,1.0,1.0,False
protocol_transfer,B1,NLIP,not_applicable,,,,,,,False
protocol_transfer,B2,ANP,reported,90,90,90,1.0,1.0,1.0,False
protocol_transfer,B2,NLIP,not_applicable,,,,,,,False
protocol_transfer,C1,ANP,reported,90,90,90,1.0,1.0,1.0,False
protocol_transfer,C1,NLIP,reported,90,90,90,1.0,1.0,1.0,True
protocol_transfer,C2,ANP,not_applicable,,,,,,,False
protocol_transfer,C2,NLIP,reported,90,90,90,1.0,1.0,1.0,False
ecosystem_framework_transfer,A1,AGNTCY,not_applicable,,,,,,,False
ecosystem_framework_transfer,A1,AutoGen,not_applicable,,,,,,,False
ecosystem_framework_transfer,A1,LangGraph,not_applicable,,,,,,,False
ecosystem_framework_transfer,A2,AGNTCY,reported,90,90,90,1.0,1.0,1.0,False
ecosystem_framework_transfer,A2,AutoGen,not_applicable,,,,,,,False
ecosystem_framework_transfer,A2,LangGraph,not_applicable,,,,,,,False
ecosystem_framework_transfer,A3,AGNTCY,not_applicable,,,,,,,False
ecosystem_framework_transfer,A3,AutoGen,reported,90,90,90,1.0,1.0,1.0,True
ecosystem_framework_transfer,A3,LangGraph,pending,,,,,,,False
ecosystem_framework_transfer,B1,AGNTCY,not_applicable,,,,,,,False
ecosystem_framework_transfer,B1,AutoGen,not_applicable,,,,,,,False
ecosystem_framework_transfer,B1,LangGraph,pending,,,,,,,False
ecosystem_framework_transfer,B2,AGNTCY,reported,90,90,90,1.0,1.0,1.0,False
ecosystem_framework_transfer,B2,AutoGen,not_applicable,,,,,,,False
ecosystem_framework_transfer,B2,LangGraph,not_applicable,,,,,,,False
ecosystem_framework_transfer,C1,AGNTCY,not_applicable,,,,,,,False
ecosystem_framework_transfer,C1,AutoGen,reported,90,88,88,0.9777777777777777,1.0,0.9777777777777777,False
ecosystem_framework_transfer,C1,LangGraph,pending,,,,,,,False
ecosystem_framework_transfer,C2,AGNTCY,not_applicable,,,,,,,False
ecosystem_framework_transfer,C2,AutoGen,reported,90,89,89,0.9888888888888889,1.0,0.9888888888888889,False
ecosystem_framework_transfer,C2,LangGraph,pending,,,,,,,False
